,b'ArUcoTag#black',b'ArUcoTag#purple'
230,0.32430880944584956,0.09662216575340941
231,2.6484332524183976,0.09144924163524773
232,4.203345943514762,0.0922484350058797
233,4.570489494144709,0.07111478431494082
234,3.2917687570256664,0.15795032884328675
235,2.7971296914127985,0.08666025564528915
236,4.016255513023485,0.1824314401843063
237,5.075728369272673,0.11262977651465515
238,5.18538974606518,0.2048961763232828
239,5.316918776387064,0.13256205408546487
240,4.277667296297293,0.11220891434672173
241,3.6071452682828467,0.11097041182507719
242,4.270114189465195,1.4381044052722518
243,4.6150456325410865,1.4739601477635969
244,4.863953146902351,0.16401291279504981
245,2.6048750343901665,0.16121052110866405
246,2.614600458906739,0.14625265549527128
247,3.8060105543905234,0.06264779378662798
248,5.059531561072289,0.0863925201724219
249,5.902953749493629,1.9160541303072762
250,4.122078845289337,2.1757669116648675
251,2.331427957783855,0.3697982913977509
252,1.9357297699777969,0.07450455297408307
253,0.14941538392523557,0.13876846133201534
254,1.266068050240088,0.06630447245671178
255,1.2543188237812488,0.03629109792677948
256,0.49157064839478315,0.042278026658123614
257,2.1554849768854285,0.031243934638776397
258,1.4121473823836612,0.10780087715883077
259,3.69557233006832,0.2629184059212997
260,5.306240689592743,1.5131414862427524
261,4.53392555944797,1.6256677649364368
262,3.4182408501423125,0.3698628502878657
263,2.225577754256305,1.4303959243696458
264,1.7598188746267578,1.6166039487464643
265,2.271411078247121,0.2494572040554097
266,2.569255745142681,0.1343965902560218
267,2.9054238432731827,0.1160599866175348
268,3.9396367980901306,0.1914207516256526
269,3.737722653077037,0.059417654075639474
270,3.4862962837862197,0.041769468377548614
271,3.792953222559252,0.1344317190374043
272,5.777034545310869,1.707934967731963
273,2.5294135307967256,1.6382256560745734
274,3.2470060144239286,0.0798229536549428
275,1.9162374399293822,0.0830763870170106
276,4.018505918060867,0.06643950807581643
277,3.5324152805621583,0.01700157804913507
278,4.096748518450801,1.4217306423397347
279,4.929859290368754,1.3388684242849391
280,5.07062975806751,1.7024856743248356
281,5.831007897795897,1.490197677460436
282,4.614791461825304,0.2548641621865822
283,5.170460456336348,1.5677410441267368
284,6.048846444961185,1.438791952953377
285,6.974135421167865,0.057020361396509976
286,4.628063196356219,0.24218289309396157
287,4.823653355591312,0.19110318197661502
288,7.9528374880078685,0.016780672464786314
289,4.6217805142963755,0.03277360563723841
290,2.995339279232014,0.04275503982219218
291,4.9303551976828315,0.0826250394963186
292,7.394494398635959,0.04232026728204597
293,5.85835114078996,0.110443132099573
294,2.116576654302252,1.5427678061871608
295,3.2104148165596524,1.5713629281443855
296,7.269833194982495,0.1450607196358803
297,6.977217788320658,0.17881648797818483
298,4.806713615915966,0.2878390094470044
299,4.255936310415419,0.2856635780179091
300,4.5730793728663075,1.6778170087335085
301,5.664028886909061,1.7468791982944927
302,4.058005310711812,1.8166545216283083
303,5.441257214952751,0.18247722678380646
304,5.7129049921262665,0.020545017463062077
305,3.078874219231963,1.5656210067930332
306,3.055932839815371,0.08556691919071596
307,5.402095052579533,0.1599991423241158
308,4.753805199046133,0.278625548447334
309,4.3497619715620335,0.2064382319106808
310,3.474929083391967,0.022675053422995306
311,2.7335253083338484,1.919835488645153
312,6.572828504770151,4.5312865374999385
313,7.007135768748952,5.318460131155546
314,4.240160640201087,4.731868593180649
315,4.055039764112059,2.038554249739923
316,3.9808073347001676,0.013255909980485106
317,4.195932711216588,0.19692215430477428
