,b'ArUcoTag#black',b'ArUcoTag#purple'
231,9.060834801538054,6.249609770401681
232,7.615634183289666,5.179759569178252
233,3.57337673358266,2.1143523847581163
234,4.957522744886247,2.436243530624066
235,7.642702095136178,6.649860445320965
236,6.608157298233648,7.860585554663573
237,4.367249688420548,5.386443479834703
238,4.513828541142636,4.034492677254063
239,5.343098222587162,4.409812721273305
240,3.950225953029251,2.0208540211214463
241,2.2618370916687995,2.4308053455408625
242,2.8040087258401103,5.50463538455903
243,2.0009453691012498,4.765320646620016
244,4.533239954614326,6.57142914485463
245,8.198578141390936,4.345236815310114
246,7.323481848203795,2.1384315334991424
247,7.241926101652691,1.849812932479926
248,8.094393471229237,2.645195807240845
249,6.627729219021626,4.967648438718678
250,1.9588020083887494,3.0476092300586917
251,0.41967901703448235,3.1088393323311676
252,2.94984249377945,3.4916031786513786
253,1.8040032782383428,5.12565826967425
254,4.215901786925229,8.182173348080923
255,8.323688545936244,4.400152252082154
256,8.323688545936244,5.219838753293901
257,8.323688545936315,6.162571044912325
258,8.323688545936244,3.217373134650817
259,8.323688545936244,4.528078509422855
260,5.262523277251041,4.168317754295901
261,1.9818774485806028,5.240303198451836
262,1.0835457025889317,4.8810097084548465
263,3.337777318588251,6.354826896184327
264,2.4754705157638153,5.58208736488408
265,4.19024030074768,3.1466658655391306
266,4.424184292756429,4.908997374006903
267,5.250021053258513,4.575579297294013
268,5.550606518226084,2.7546061757571487
269,3.829411147667709,1.021160742994375
270,7.272206296636893,2.8654615327858832
271,8.084070766567528,2.7196280805745476
272,6.594866002195434,2.2303229019561996
273,3.996033297032082,2.0428413902216516
274,0.5435469048381868,2.3727857312596963
275,2.714703211988922,5.569843050943366
276,4.128938388451266,6.714965243780646
277,3.2961153500139213,4.398803090724952
278,4.669274532664947,3.381658270165111
279,3.1565044846071295,3.1551786583821775
280,1.2597141288611668,2.534467536182646
281,3.062782980656266,2.3273784583401818
282,3.0443940486649264,4.127629643029693
283,3.166017124345108,5.694814793123395
284,6.865862944371344,5.870413627577953
285,4.485728444756747,7.416815099554665
286,4.101291509145629,6.734625827301285
287,2.2959507330208337,5.844877538288682
288,5.529699206663213,5.400867124682079
289,3.9373033702474785,5.041097290230369
290,4.033404052592479,6.153014047624117
291,1.856612108213442,5.680805261617726
292,1.2882594439278634,4.250591495056123
293,3.0570002476833285,1.7890730549363534
294,4.439786191652294,5.812135844991117
295,5.95495633457506,6.627791949193126
296,8.845513915645013,4.090743151005546
297,7.000411473976573,3.8162357063803585
298,5.3466347596706445,6.288682828795086
299,3.507223731131849,7.964654112086425
300,3.62365934048373,5.2854085446023955
301,6.848311221836061,3.583201157570541
302,5.134255684096305,4.760942998343381
303,2.2791869652667693,3.9803344090415
304,1.1647493157206685,5.231614563276127
305,3.0404901621701357,7.432900238123212
306,4.705158784213758,6.467328464943387
307,2.2997261037986934,5.080873033788106
308,1.694509998857037,4.378306191311823
309,5.058245931362192,4.572631429914951
310,5.494573764054825,5.08831052914493
311,5.613755303426475,3.147349808401716
312,6.451648704948387,3.6268756248134157
313,8.026479119528576,3.816916874394017
314,6.301447991246154,2.4602492876349817
315,4.9089841551396285,2.5857557547745897
316,2.9796059949939173,4.490165396236664
317,2.567966407367751,0.4231904878999768
318,3.258558503649453,1.9199530600424042
319,5.024725089441919,4.5257730348416745
320,5.784627363671501,7.382767791954064
321,3.8701640464839406,8.179451962009246
322,3.2834642307587205,8.618523347503823
323,4.022641022210332,10.642014759408811
324,4.1001178042030455,5.26175597513723
325,2.765566918368016,4.01500851462902
326,2.657213101848869,4.9872297048534175
327,5.604267263493779,4.507031575071054
328,6.883339509505284,2.010916274217793
329,6.997524474339429,4.0219377945962185
330,6.440234401683445,6.071252466882715
331,5.096117153889584,5.984419553917053
332,6.6059502836254005,7.823280874605941
333,4.512139352890091,3.529691958156802
334,2.4902318531846386,2.9963286191234593
335,6.382449168051123,9.111978495469906
336,5.333401190480826,6.85352644988883
337,4.599639994671659,4.657861598733441
338,8.208214024844176,7.341430040045718
339,8.208214024844176,6.213862287777071
340,6.032191010566756,6.649745468076572
341,4.023790659381493,8.51758091812158
342,3.216324706273934,11.822739967326473
343,2.7528067424678557,12.421408245513831
344,2.278326081139055,10.477584803212332
345,5.24100808951746,10.477584803212332
346,2.5704300601360055,10.477584803212332
347,2.784349654604931,10.477584803212332
348,3.1315084727202613,11.829677274049994
349,4.5767665568015765,13.642379773294758
350,6.742584152822871,12.40508217279568
351,3.374016411079786,12.026091308366176
352,4.554580210489372,12.883215116762603
353,8.55895550435965,12.883215116762603
354,8.55895550435965,14.267392234714915
355,6.283581386326329,13.132385371322089
356,4.776428773873319,10.936005529042157
357,5.314377189848682,10.936005529042157
358,7.622701014218888,10.936005529042157
359,4.064346839219924,13.656811793509172
360,0.6439579379018703,13.843031202547914
361,2.409280908025394,11.30756773522389
362,5.485011554334772,11.30756773522389
363,6.869654309296769,11.30756773522389
364,3.45779315397502,11.137709062144408
365,3.1682458827195563,12.243339300737734
366,5.424889183588133,13.401632264379097
367,6.781194297737134,13.401632264379097
368,8.183584089034484,13.9969078902281
369,4.394549537435204,13.776162535259468
370,1.8988640194729303,13.48758025022864
371,4.599559251143657,13.501943741968548
372,5.163512001564582,10.386601555533616
373,1.2621330741303118,8.203363773730995
374,2.3370972644046457,9.743751713287383
375,4.35307175789606,9.743751713287383
376,6.906678633636267,9.743751713287383
377,4.8655611842112005,9.743751713287383
378,2.6672602387497895,6.175995101534747
379,2.2390954382577366,4.177505540844817
380,7.683425658335928,10.227089186409831
381,7.0965319199202215,10.227089186409831
382,1.6352137380993346,6.140877635763242
383,5.172747439102952,2.5002588763909523
384,7.389116926816085,4.036136547934195
385,6.539313920020388,6.000841668077881
386,6.2650018472657605,8.355760351064355
387,5.71827472741966,5.3689769155177665
388,4.929485679642422,3.1452513843092937
389,6.3752690576506055,6.967557531645999
390,4.416621647030279,7.837347392761255
391,2.6724358612748627,7.600256907960205
392,3.511458197889983,10.724075659277139
393,2.058595173272468,11.315616556575051
394,0.5777259332118775,7.64211872782217
395,3.1406980341157924,10.147849715152084
396,4.0649340752658665,11.546407928824197
397,2.3076588501399975,9.175083917999507
398,1.6285126794384446,9.175083917999507
399,1.588018380840433,9.175083917999507
400,2.4877415592770435,8.621207878021362
401,2.397530621333634,8.065108061041133
402,1.7888349217590074,8.557662675589544
403,0.6478216394938122,8.557662675589544
404,2.6450982979068516,5.976218241532981
405,3.3647795303104964,5.803277105542188
406,2.403428930682526,9.14226537844722
407,0.4241075923790019,10.884259738559628
408,0.4603702238732622,10.884259738559628
409,3.281202953007017,7.6920247152588175
410,3.4596445455497706,5.443834806651721
411,3.21190288689056,6.417741314906927
412,7.0413364737417306,10.130065772755083
413,4.775016571579914,12.010258911837187
414,5.198272332694037,9.415377636315606
415,5.004114624709296,12.295065816950583
416,2.9352785959959045,11.666540683662346
417,6.0252062035905825,6.841710555920938
418,5.917789461863347,3.5233762055722604
419,4.863232216338882,3.4163206228011136
420,3.5637529087773965,6.384418354701786
421,2.568196480991966,5.761353143815283
422,2.598996018584519,7.593220547359957
423,3.9888671202763035,9.32613079408739
424,5.195310082112374,9.32613079408739
425,3.0857331757565087,8.554141991663963
426,3.690407546240189,9.203798387730195
427,5.1864970334393155,12.145740450032948
428,2.4455003607208123,11.066405899536045
429,3.334179825716014,9.73525675190922
430,5.317019235951125,10.753366779943796
431,5.42245475523565,10.458880796462786
432,3.918701753788,8.9497650951496
433,2.3817009326481338,8.91440004845124
434,2.5948638427449398,8.32360071524865
435,0.3215683256762467,10.591210336569267
436,2.009787499148421,12.9237468075064
437,5.954123259685188,16.224336234907675
438,5.747523803450087,16.431150400664325
439,5.495674979601956,16.012671467250968
440,3.7051471433309233,14.941923670816522
441,4.895580678249538,13.91604660797853
442,5.567491181367254,2.5601791511789087
443,6.5506231613623385,11.994729660305163
444,6.131895960896615,7.210300761978982
445,3.2369769527425687,2.1757030721279036
446,2.3866329337673586,0.28538955818027
447,3.6883913056314834,4.274514365468301
448,7.042805310977535,6.414113650672667
449,7.055708595884779,3.0629344587995773
450,5.602272379830541,1.7408927484609138
451,5.602272379830541,1.8592382354310943
452,3.748128795576112,2.4403972724709586
453,3.2546742898169447,4.144666000147727
454,5.4659213981461585,3.735599236255748
455,5.411614126600912,2.6859933463380807
456,6.165761409234708,2.8268739743331546
457,6.501312211612575,2.5114346830424843
458,5.221312121066332,2.5849242661746072
