,b'ArUcoTag#black',b'ArUcoTag#purple'
231,2.3852054593467553,1.0272189072850895
232,0.1661164734773065,1.691729474858259
233,5.311906558284606,0.14560683692401905
234,3.1521187033103386,0.16046661232176332
235,10.252469687659708,0.14608603756100097
236,8.242612528114083,1.777386161604717
237,3.4293201643627897,3.6852722159123736
238,0.29442102214044613,2.2539426583303084
239,0.4235494321972741,3.140671101667381
240,2.544567280013339,2.185624892358901
241,2.312568444903605,2.4483682813857173
242,2.0561681371792053,4.471760181657235
243,0.5331044055479495,2.5053182997184535
244,2.5098822579576114,0.8432126917279114
245,5.1229491888275795,5.6988805080951925
246,2.90580177567977,12.492473694033627
247,3.84026059731763,7.9948335103703885
248,8.821647022606736,4.1238591688803306
249,9.846385257131757,2.226302794736629
250,9.846385257131757,1.6290496093713853
251,9.553888635050946,4.137578205398844
252,9.705240141823147,3.4478930846843463
253,6.85156755986837,0.1586097984286235
254,4.275873764442732,0.3977917157664419
255,5.7429775096819755,1.686499830237026
256,4.766516377188622,2.140072384040721
257,2.3348659338902737,1.6765401224144343
258,3.010100523822436,0.11371239877126842
259,2.4044336476080854,2.494824038042019
260,7.627624794614488,3.3557890076467563
261,7.627624794614488,0.9091834704343968
262,3.643297975226469,0.11796302481520717
263,0.15543275807687068,0.0063326180660933235
264,0.3479288072859732,0.04260448462298447
265,0.1766760673970174,0.037135880190063995
266,2.208092082000208,1.7589104190623497
267,3.0014239735548958,1.9706584695684763
268,2.3172645020716915,2.0649155574889173
269,0.04320949605766317,1.5947195617676295
270,0.05688967908669018,0.025494180924630613
271,1.3670904708389173,1.431231336860418
272,0.1132949346054096,1.459613740983325
273,1.8036221504690448,1.6711233103792895
274,2.38809465879553,2.5081572965945287
275,2.142206511495304,1.7543028192519239
276,1.5926982144427178,0.2573996841297024
277,0.08731582557752392,0.12239752972894961
278,1.8265894621481733,0.2790064556397903
279,3.1284314920815746,0.23525132422892875
280,4.793092196964798,0.21187029059083146
281,3.177342326194645,0.11019366707666987
282,0.39398951120572556,0.11563748734451382
283,1.6379589891171313,0.14804373529597553
284,1.784734272279664,0.09908065182278131
285,1.9432398546069027,0.206458128984231
286,2.568068698064682,0.023398884114634543
287,5.053097724038281,0.23906308443646268
288,6.344020908777086,2.7130174284508595
289,1.7005260227099483,12.978288612647919
290,5.464652979171367,11.889502221095507
291,2.179584750707017,3.5076290321054526
292,1.797024479380955,3.0682845581935623
293,1.6854425887167475,2.526549739909005
294,1.5839001730800144,1.8147371376391173
295,0.024270671324980533,0.26902398199943295
296,0.035575538648466805,0.39280499153018844
297,0.06565976080853972,0.310183123864423
298,0.07203545515690252,0.2955557208391162
299,0.08512766827598764,2.697810032204603
300,0.05217982037226481,2.535282278914196
301,0.18817392075942344,4.6800128805300325
302,0.30813803100209797,9.247501941614834
303,1.222951927172921,9.247501941614834
